,Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
0,meal_id1   ,summer squash salad                                                           ,salad       ,"white balsamic vinegar, lemon juice, lemon rind, red chillies, garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves                                                                                                                                                                                                                                                                                                                                                                                                     ",veg     ,fiber         ,obesity diabeties hypertension goitre                                                                                 ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                                                   ,485
1,meal_id2   ,chicken minced salad                                                          ,salad       ,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts                                                                                                                                                                                                                                                                                                                                                         ",non-veg ,fiber         ,anemia pregnancy hypertension rickets goitre kidney_disease obesity                                                   ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                         ,600
2,meal_id3   ,sweet chilli almonds                                                          ,chilli      ,"almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,vitamin_a     ,hypertension scurvy heart_disease goitre kidney_disease pregnancy                                                     ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                                    ,255
3,meal_id4   ,tricolour salad                                                               ,salad       ,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,fiber         ,obesity goitre hypertension                                                                                           ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                           ,615
6,meal_id7   ,chocolate nero cookies                                                        ,cookie      ,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,475
8,meal_id9   ,cream of almond soup                                                          ,soup        ,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,calcium       ,obesity cancer hypertension                                                                                           ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                 ,290
9,meal_id10  ,broccoli and almond soup                                                      ,soup        ,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,vitamin_c     ,pregnancy hypertension scurvy obesity diabeties                                                                       ,alkaline_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet                                                                                                    ,515
10,meal_id11  ,coconut lime quinoa salad                                                     ,salad       ,"uncooked quinoa, water, red onion, cucumber (diced), purple cabbage, avocado (ripened and diced), orange, shelled edamame (defrosted), unsweetened toasted coconut flakes, almonds, few shakes of black pepper, for the dressing:, orange juice, lime (juiced), apple cider vinegar, olive oil                                                                                                                                                                                                                                                                        ",veg     ,fiber         ,pregnancy hypertension scurvy goitre obesity                                                                          ,alkaline_diet low_fat_diet paleo_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                            ,540
11,meal_id12  ,lemon honey glazed sous vide corn on the cob                                  ,corn        ,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer                                                                                                                                                                                                                                                                                                                                                                                                        ",non-veg ,protien       ,diabeties goitre scurvy                                                                                               ,low_fat_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet                                                                                                               ,310
13,meal_id14  ,"peach, raspberry and nuts smoothie                                          ",smoothie    ,"fresh raspberries, ripe banana, almond, fresh peach slices, low fat yogurt, fresh raspeberry, peach fruit slices, almonds                                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,vitamin_e     ,anemia cancer heart_disease kidney_disease obesity diabeties                                                          ,alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet                                                                                      ,585
