,ID,Exercise Plan,ExerciseType,Difficulty,Total Plan Duration (minutes),Calories Burned (Plan),Target Muscle Group,Cluster
0,0.0,"Plank, Lunges, Russian Twists, Burpees, Sit-ups, Dumbbell Rows",Strength,Beginner,35,544.0,"Core (Abdominals, Lower Back), Quadriceps, Hamstrings, Glutes, Core (Obliques), Full Body (Cardio, Strength), Core, Back, Biceps",28
1,0.002506265664160401,"Plank, Dumbbell Rows, Jumping Jacks, Lunges, Burpees, Bicep Curls",Cardio,Beginner,50,544.0,"Core (Abdominals, Lower Back), Back, Biceps, Full Body (Cardio), Quadriceps, Hamstrings, Glutes, Full Body (Cardio, Strength), Biceps, Forearms",20
2,0.005012531328320802,"Squats, Sit-ups, Calf Raises, Bicep Curls, Leg Press, Box Jumps",Flexibility,Advanced,70,744.0,"Quadriceps, Hamstrings, Glutes, Core, Calves, Biceps, Forearms, Quadriceps, Hamstrings, Glutes, Legs, Cardio",15
3,0.007518796992481203,"Deadlifts, Bicep Curls, Box Jumps, Plank Jacks, Push-ups, Dumbbell Rows",Cardio,Advanced,60,900.0,"Back, Glutes, Hamstrings, Biceps, Forearms, Legs, Cardio, Core, Cardio, Chest, Shoulders, Triceps, Back, Biceps",15
4,0.010025062656641603,"Lateral Raises, Calf Raises, Push-ups, Bench Press, Sit-ups, Mountain Climbers",Flexibility,Advanced,60,768.0,"Shoulders, Calves, Chest, Shoulders, Triceps, Chest, Shoulders, Triceps, Core, Core, Shoulders, Hips",3
5,0.012531328320802004,"Bicep Curls, Pull-ups, High Knees, Box Jumps, Leg Press, Deadlifts",Flexibility,Advanced,50,900.0,"Biceps, Forearms, Back, Biceps, Cardio, Lower Body, Legs, Cardio, Quadriceps, Hamstrings, Glutes, Back, Glutes, Hamstrings",3
6,0.015037593984962405,"Jump Rope, Push-ups, Deadlifts, Lunges, Jumping Jacks, Box Jumps",Flexibility,Beginner,45,664.0,"Cardio, Full Body, Chest, Shoulders, Triceps, Back, Glutes, Hamstrings, Quadriceps, Hamstrings, Glutes, Full Body (Cardio), Legs, Cardio",9
7,0.017543859649122806,"Pull-ups, Lateral Raises, Mountain Climbers, Leg Press, Bicep Curls, Push-ups",Flexibility,Intermediate,50,670.0,"Back, Biceps, Shoulders, Core, Shoulders, Hips, Quadriceps, Hamstrings, Glutes, Biceps, Forearms, Chest, Shoulders, Triceps",33
8,0.020050125313283207,"Squats, Jumping Jacks, Pull-ups, Sit-ups, Deadlifts, Push-ups",Strength,Beginner,60,600.0,"Quadriceps, Hamstrings, Glutes, Full Body (Cardio), Back, Biceps, Core, Back, Glutes, Hamstrings, Chest, Shoulders, Triceps",12
9,0.022556390977443608,"Pull-ups, Calf Raises, Lunges, High Knees, Lateral Raises, Box Jumps",Flexibility,Advanced,65,744.0,"Back, Biceps, Calves, Quadriceps, Hamstrings, Glutes, Cardio, Lower Body, Shoulders, Legs, Cardio",31
10,0.02506265664160401,"Plank, Burpees, Squats, High Knees, Dumbbell Rows, Jump Rope",Strength,Beginner,45,568.0,"Core (Abdominals, Lower Back), Full Body (Cardio, Strength), Quadriceps, Hamstrings, Glutes, Cardio, Lower Body, Back, Biceps, Cardio, Full Body",16
11,0.02756892230576441,"Jumping Jacks, Push-ups, Burpees, Bicep Curls, High Knees, Squats",Cardio,Advanced,45,876.0,"Full Body (Cardio), Chest, Shoulders, Triceps, Full Body (Cardio, Strength), Biceps, Forearms, Cardio, Lower Body, Quadriceps, Hamstrings, Glutes",30
12,0.03007518796992481,"Plank Jacks, Pull-ups, Burpees, Russian Twists, Leg Press, Sit-ups",Strength,Advanced,60,876.0,"Core, Cardio, Back, Biceps, Full Body (Cardio, Strength), Core (Obliques), Quadriceps, Hamstrings, Glutes, Core",27
13,0.03258145363408521,"Jump Rope, Lunges, Push-ups, Bicep Curls, Calf Raises, High Knees",Strength,Advanced,70,744.0,"Cardio, Full Body, Quadriceps, Hamstrings, Glutes, Chest, Shoulders, Triceps, Biceps, Forearms, Calves, Cardio, Lower Body",24
14,0.03508771929824561,"Box Jumps, Calf Raises, High Knees, Squats, Push-ups, Jumping Jacks",Strength,Beginner,55,536.0,"Legs, Cardio, Calves, Cardio, Lower Body, Quadriceps, Hamstrings, Glutes, Chest, Shoulders, Triceps, Full Body (Cardio)",16
15,0.03759398496240601,"Mountain Climbers, Plank Jacks, Calf Raises, Lunges, Dumbbell Rows, Leg Press",Cardio,Advanced,50,780.0,"Core, Shoulders, Hips, Core, Cardio, Calves, Quadriceps, Hamstrings, Glutes, Back, Biceps, Quadriceps, Hamstrings, Glutes",10
16,0.040100250626566414,"Pull-ups, Lateral Raises, Plank, High Knees, Plank Jacks, Mountain Climbers",Cardio,Intermediate,65,580.0,"Back, Biceps, Shoulders, Core (Abdominals, Lower Back), Cardio, Lower Body, Core, Cardio, Core, Shoulders, Hips",19
17,0.042606516290726815,"Leg Press, Plank, Push-ups, Plank Jacks, Mountain Climbers, Russian Twists",Cardio,Advanced,80,816.0,"Quadriceps, Hamstrings, Glutes, Core (Abdominals, Lower Back), Chest, Shoulders, Triceps, Core, Cardio, Core, Shoulders, Hips, Core (Obliques)",12
18,0.045112781954887216,"High Knees, Russian Twists, Plank Jacks, Box Jumps, Deadlifts, Sit-ups",Strength,Intermediate,55,690.0,"Cardio, Lower Body, Core (Obliques), Core, Cardio, Legs, Cardio, Back, Glutes, Hamstrings, Core",13
19,0.047619047619047616,"Box Jumps, Pull-ups, Bench Press, Dumbbell Rows, Squats, Leg Press",Cardio,Beginner,60,632.0,"Legs, Cardio, Back, Biceps, Chest, Shoulders, Triceps, Back, Biceps, Quadriceps, Hamstrings, Glutes, Quadriceps, Hamstrings, Glutes",5
20,0.05012531328320802,"Jumping Jacks, Box Jumps, Mountain Climbers, Leg Press, Squats, Calf Raises",Cardio,Advanced,60,828.0,"Full Body (Cardio), Legs, Cardio, Core, Shoulders, Hips, Quadriceps, Hamstrings, Glutes, Quadriceps, Hamstrings, Glutes, Calves",11
21,0.05263157894736842,"Lateral Raises, Mountain Climbers, Bench Press, Push-ups, Squats, Deadlifts",Cardio,Intermediate,60,800.0,"Shoulders, Core, Shoulders, Hips, Chest, Shoulders, Triceps, Chest, Shoulders, Triceps, Quadriceps, Hamstrings, Glutes, Back, Glutes, Hamstrings",20
22,0.05513784461152882,"Lateral Raises, Plank, Calf Raises, Box Jumps, Lunges, Russian Twists",Strength,Advanced,50,696.0,"Shoulders, Core (Abdominals, Lower Back), Calves, Legs, Cardio, Quadriceps, Hamstrings, Glutes, Core (Obliques)",12
